fen,move,eval_before,eval_after,delta,label
r1bqkb1r/ppp2ppp/2n5/3np3/8/2NP1N2/PPP2PPP/R1BQKB1R w KQkq - 0 6,Nxd5,-21,-57,-36,1
r1bqkb1r/ppp2ppp/2n5/3Np3/8/3P1N2/PPP2PPP/R1BQKB1R b KQkq - 0 6,Qxd5,-63,-47,16,1
r1b1kb1r/ppp2ppp/2n5/3qp3/8/3P1N2/PPP2PPP/R1BQKB1R w KQkq - 0 7,c4,-70,-133,-63,1
r1b1kb1r/ppp2ppp/2n5/3qp3/2P5/3P1N2/PP3PPP/R1BQKB1R b KQkq - 0 7,Bb4+,-134,-136,-2,1
r1b1k2r/ppp2ppp/2n5/3qp3/1bP5/3P1N2/PP3PPP/R1BQKB1R w KQkq - 1 8,Bd2,-119,-135,-16,1
r1b1k2r/ppp2ppp/2n5/3qp3/1bP5/3P1N2/PP1B1PPP/R2QKB1R b KQkq - 2 8,Bxd2+,-148,-150,-2,1
r1b1k2r/ppp2ppp/2n5/3qp3/2P5/3P1N2/PP1b1PPP/R2QKB1R w KQkq - 0 9,Qxd2,-139,-136,3,1
r1b1k2r/ppp2ppp/2n5/3qp3/2P5/3P1N2/PP1Q1PPP/R3KB1R b KQkq - 0 9,Qd7,-140,-40,100,1
r1b1k2r/pppq1ppp/2n5/4p3/2P5/3P1N2/PP1Q1PPP/R3KB1R w KQkq - 1 10,Be2,-30,-51,-21,1
r1b1k2r/pppq1ppp/2n5/4p3/2P5/3P1N2/PP1QBPPP/R3K2R b KQkq - 2 10,Qd6,-49,-52,-3,1
r1b1k2r/ppp2ppp/2nq4/4p3/2P5/3P1N2/PP1QBPPP/R3K2R w KQkq - 3 11,O-O,-43,-66,-23,1
r1b1k2r/ppp2ppp/2nq4/4p3/2P5/3P1N2/PP1QBPPP/R4RK1 b kq - 4 11,Bf5,-52,-46,6,1
r3k2r/ppp2ppp/2nq4/4pb2/2P5/3P1N2/PP1QBPPP/R4RK1 w kq - 5 12,Rfe1,-62,-94,-32,1
r3k2r/ppp2ppp/2nq4/4pb2/2P5/3P1N2/PP1QBPPP/R3R1K1 b kq - 6 12,O-O-O,-80,-103,-23,1
2kr3r/ppp2ppp/2nq4/4pb2/2P5/3P1N2/PP1QBPPP/R3R1K1 w - - 7 13,b3,-88,-165,-77,1
2kr3r/ppp2ppp/2nq4/4pb2/2P5/1P1P1N2/P2QBPPP/R3R1K1 b - - 0 13,f6,-173,-170,3,1
2kr3r/ppp3pp/2nq1p2/4pb2/2P5/1P1P1N2/P2QBPPP/R3R1K1 w - - 0 14,Qe3,-175,-192,-17,1
2kr3r/ppp3pp/2nq1p2/4pb2/2P5/1P1PQN2/P3BPPP/R3R1K1 b - - 1 14,Bxd3,-205,-77,128,1
2kr3r/ppp3pp/2nq1p2/4p3/2P5/1P1bQN2/P3BPPP/R3R1K1 w - - 0 15,Bxd3,-39,-278,-239,0
2kr3r/ppp3pp/2nq1p2/4p3/2P5/1P1BQN2/P4PPP/R3R1K1 b - - 0 15,Qxd3,-280,-279,1,1
2kr3r/ppp3pp/2n2p2/4p3/2P5/1P1qQN2/P4PPP/R3R1K1 w - - 0 16,Qxd3,-278,-308,-30,1
2kr3r/ppp3pp/2n2p2/4p3/2P5/1P1Q1N2/P4PPP/R3R1K1 b - - 0 16,Rxd3,-299,-287,12,1
2k4r/ppp3pp/2n2p2/4p3/2P5/1P1r1N2/P4PPP/R3R1K1 w - - 0 17,Nh4,-289,-305,-16,1
2k4r/ppp3pp/2n2p2/4p3/2P4N/1P1r4/P4PPP/R3R1K1 b - - 1 17,Rhd8,-317,-319,-2,1
2kr4/ppp3pp/2n2p2/4p3/2P4N/1P1r4/P4PPP/R3R1K1 w - - 2 18,Nf5,-318,-319,-1,1
2kr4/ppp3pp/2n2p2/4pN2/2P5/1P1r4/P4PPP/R3R1K1 b - - 3 18,R8d7,-288,-284,4,1
2k5/pppr2pp/2n2p2/4pN2/2P5/1P1r4/P4PPP/R3R1K1 w - - 4 19,Kh1,-291,-363,-72,1
2k5/pppr2pp/2n2p2/4pN2/2P5/1P1r4/P4PPP/R3R2K b - - 5 19,Nb4,-330,-359,-29,1
2k5/pppr2pp/5p2/4pN2/1nP5/1P1r4/P4PPP/R3R2K w - - 6 20,Rec1,-351,-373,-22,1
2k5/pppr2pp/5p2/4pN2/1nP5/1P1r4/P4PPP/R1R4K b - - 7 20,Rd2,-394,-372,22,1
2k5/pppr2pp/5p2/4pN2/1nP5/1P6/P2r1PPP/R1R4K w - - 8 21,a3,-388,-508,-120,0
2k5/pppr2pp/5p2/4pN2/1nP5/PP6/3r1PPP/R1R4K b - - 0 21,Nd3,-544,-452,92,1
2k5/pppr2pp/5p2/4pN2/2P5/PP1n4/3r1PPP/R1R4K w - - 1 22,Rd1,-464,-644,-180,0
2k5/pppr2pp/5p2/4pN2/2P5/PP1n4/3r1PPP/R2R3K b - - 2 22,Nxf2+,-662,-679,-17,1
2k5/pppr2pp/5p2/4pN2/2P5/PP6/3r1nPP/R2R3K w - - 0 23,Kg1,-647,-656,-9,1
2k5/pppr2pp/5p2/4pN2/2P5/PP6/3r1nPP/R2R2K1 b - - 1 23,Nxd1,-660,-681,-21,1
2k5/pppr2pp/5p2/4pN2/2P5/PP6/3r2PP/R2n2K1 w - - 0 24,h3,-703,-713,-10,1
2k5/pppr2pp/5p2/4pN2/2P5/PP5P/3r2P1/R2n2K1 b - - 0 24,Nc3,-737,-717,20,1
2k5/pppr2pp/5p2/4pN2/2P5/PPn4P/3r2P1/R5K1 w - - 1 25,Rf1,-691,-755,-64,1
2k5/pppr2pp/5p2/4pN2/2P5/PPn4P/3r2P1/5RK1 b - - 2 25,Ne4,-737,-663,74,1
2k5/pppr2pp/5p2/4pN2/2P1n3/PP5P/3r2P1/5RK1 w - - 3 26,b4,-682,-739,-57,1
2k5/pppr2pp/5p2/4pN2/1PP1n3/P6P/3r2P1/5RK1 b - - 0 26,Rd1,-722,-652,70,1
2k5/pppr2pp/5p2/4pN2/1PP1n3/P6P/6P1/3r1RK1 w - - 1 27,Ne7+,-657,-748,-91,1
2k5/ppprN1pp/5p2/4p3/1PP1n3/P6P/6P1/3r1RK1 b - - 2 27,Rxe7,-721,-565,156,1
2k5/ppp1r1pp/5p2/4p3/1PP1n3/P6P/6P1/3r1RK1 w - - 0 28,Rxd1,-538,-548,-10,1
2k5/ppp1r1pp/5p2/4p3/1PP1n3/P6P/6P1/3R2K1 b - - 0 28,Rd7,-560,-550,10,1
2k5/pppr2pp/5p2/4p3/1PP1n3/P6P/6P1/3R2K1 w - - 1 29,Rxd7,-520,-585,-65,1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4,34,22,-12,1
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,d5,29,72,43,1
rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,e5,76,-11,-87,1
rnbqkbnr/ppp1pppp/8/3pP3/8/8/PPPP1PPP/RNBQKBNR b KQkq - 0 2,Nc6,-7,42,49,1
r1bqkbnr/ppp1pppp/2n5/3pP3/8/8/PPPP1PPP/RNBQKBNR w KQkq - 1 3,d4,43,49,6,1
r1bqkbnr/ppp1pppp/2n5/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,g6,45,81,36,1
r1bqkbnr/ppp1pp1p/2n3p1/3pP3/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,Bg5,87,10,-77,1
r1bqkbnr/ppp1pp1p/2n3p1/3pP1B1/3P4/8/PPP2PPP/RN1QKBNR b KQkq - 1 4,Bg7,-7,8,15,1
r1bqk1nr/ppp1ppbp/2n3p1/3pP1B1/3P4/8/PPP2PPP/RN1QKBNR w KQkq - 2 5,Nd2,-4,-214,-210,0
r1bqk1nr/ppp1ppbp/2n3p1/3pP1B1/3P4/8/PPPN1PPP/R2QKBNR b KQkq - 3 5,f6,-210,-48,162,1
r1bqk1nr/ppp1p1bp/2n2pp1/3pP1B1/3P4/8/PPPN1PPP/R2QKBNR w KQkq - 0 6,exf6,-42,-25,17,1
r1bqk1nr/ppp1p1bp/2n2Pp1/3p2B1/3P4/8/PPPN1PPP/R2QKBNR b KQkq - 0 6,Nxf6,-32,10,42,1
r1bqk2r/ppp1p1bp/2n2np1/3p2B1/3P4/8/PPPN1PPP/R2QKBNR w KQkq - 0 7,Nb3,26,-125,-151,0
r1bqk2r/ppp1p1bp/2n2np1/3p2B1/3P4/1N6/PPP2PPP/R2QKBNR b KQkq - 1 7,e5,-87,-91,-4,1
r1bqk2r/ppp3bp/2n2np1/3pp1B1/3P4/1N6/PPP2PPP/R2QKBNR w KQkq - 0 8,dxe5,-90,-107,-17,1
r1bqk2r/ppp3bp/2n2np1/3pP1B1/8/1N6/PPP2PPP/R2QKBNR b KQkq - 0 8,Nxe5,-105,-85,20,1
r1bqk2r/ppp3bp/5np1/3pn1B1/8/1N6/PPP2PPP/R2QKBNR w KQkq - 0 9,Qe2,-96,-223,-127,0
r1bqk2r/ppp3bp/5np1/3pn1B1/8/1N6/PPP1QPPP/R3KBNR b KQkq - 1 9,Qd6,-241,-115,126,1
r1b1k2r/ppp3bp/3q1np1/3pn1B1/8/1N6/PPP1QPPP/R3KBNR w KQkq - 2 10,O-O-O,-84,-229,-145,0
r1b1k2r/ppp3bp/3q1np1/3pn1B1/8/1N6/PPP1QPPP/2KR1BNR b kq - 3 10,h6,-257,75,332,1
r1b1k2r/ppp3b1/3q1npp/3pn1B1/8/1N6/PPP1QPPP/2KR1BNR w kq - 0 11,f4,226,-78,-304,0
r1b1k2r/ppp3b1/3q1npp/3pn1B1/5P2/1N6/PPP1Q1PP/2KR1BNR b kq - 0 11,hxg5,-131,356,487,1
r1b1k2r/ppp3b1/3q1np1/3pn1p1/5P2/1N6/PPP1Q1PP/2KR1BNR w kq - 0 12,fxe5,371,406,35,1
r1b1k2r/ppp3b1/3q1np1/3pP1p1/8/1N6/PPP1Q1PP/2KR1BNR b kq - 0 12,Qc6,389,803,414,1
r1b1k2r/ppp3b1/2q2np1/3pP1p1/8/1N6/PPP1Q1PP/2KR1BNR w kq - 1 13,exf6+,785,809,24,1
r1b1k2r/ppp3b1/2q2Pp1/3p2p1/8/1N6/PPP1Q1PP/2KR1BNR b kq - 0 13,Kf7,787,9998,9211,1
r1b4r/ppp2kb1/2q2Pp1/3p2p1/8/1N6/PPP1Q1PP/2KR1BNR w - - 1 14,fxg7,9998,612,-9386,0
r1b4r/ppp2kP1/2q3p1/3p2p1/8/1N6/PPP1Q1PP/2KR1BNR b - - 0 14,Bf5,622,736,114,1
r6r/ppp2kP1/2q3p1/3p1bp1/8/1N6/PPP1Q1PP/2KR1BNR w - - 1 15,gxh8=Q,757,743,-14,1
r6Q/ppp2k2/2q3p1/3p1bp1/8/1N6/PPP1Q1PP/2KR1BNR b - - 0 15,Rxh8,772,793,21,1
7r/ppp2k2/2q3p1/3p1bp1/8/1N6/PPP1Q1PP/2KR1BNR w - - 0 16,Nd4,793,768,-25,1
7r/ppp2k2/2q3p1/3p1bp1/3N4/8/PPP1Q1PP/2KR1BNR b - - 1 16,Qc5,798,838,40,1
7r/ppp2k2/6p1/2qp1bp1/3N4/8/PPP1Q1PP/2KR1BNR w - - 2 17,Ngf3,850,791,-59,1
7r/ppp2k2/6p1/2qp1bp1/3N4/5N2/PPP1Q1PP/2KR1B1R b - - 3 17,Re8,812,850,38,1
4r3/ppp2k2/6p1/2qp1bp1/3N4/5N2/PPP1Q1PP/2KR1B1R w - - 4 18,Qb5,850,869,19,1
4r3/ppp2k2/6p1/1Qqp1bp1/3N4/5N2/PPP3PP/2KR1B1R b - - 5 18,b6,859,849,-10,1
4r3/p1p2k2/1p4p1/1Qqp1bp1/3N4/5N2/PPP3PP/2KR1B1R w - - 0 19,Qxc5,840,872,32,1
4r3/p1p2k2/1p4p1/2Qp1bp1/3N4/5N2/PPP3PP/2KR1B1R b - - 0 19,bxc5,837,843,6,1
4r3/p1p2k2/6p1/2pp1bp1/3N4/5N2/PPP3PP/2KR1B1R w - - 0 20,Nxf5,838,837,-1,1
4r3/p1p2k2/6p1/2pp1Np1/8/5N2/PPP3PP/2KR1B1R b - - 0 20,gxf5,810,824,14,1
4r3/p1p2k2/8/2pp1pp1/8/5N2/PPP3PP/2KR1B1R w - - 0 21,Rxd5,832,802,-30,1
4r3/p1p2k2/8/2pR1pp1/8/5N2/PPP3PP/2K2B1R b - - 0 21,g4,804,837,33,1
4r3/p1p2k2/8/2pR1p2/6p1/5N2/PPP3PP/2K2B1R w - - 0 22,Bb5,843,813,-30,1
4r3/p1p2k2/8/1BpR1p2/6p1/5N2/PPP3PP/2K4R b - - 1 22,Re4,815,863,48,1
8/p1p2k2/8/1BpR1p2/4r1p1/5N2/PPP3PP/2K4R w - - 2 23,Ng5+,877,898,21,1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4,37,25,-12,1
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e5,30,31,1,1
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Nf3,32,33,1,1
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,d6,24,49,25,1
rnbqkbnr/ppp2ppp/3p4/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,Bc4,34,15,-19,1
rnbqkbnr/ppp2ppp/3p4/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3,h6,34,103,69,1
rnbqkbnr/ppp2pp1/3p3p/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,Bb3,113,25,-88,1
rnbqkbnr/ppp2pp1/3p3p/4p3/4P3/1B3N2/PPPP1PPP/RNBQK2R b KQkq - 1 4,Nf6,21,19,-2,1
rnbqkb1r/ppp2pp1/3p1n1p/4p3/4P3/1B3N2/PPPP1PPP/RNBQK2R w KQkq - 2 5,Nc3,25,15,-10,1
rnbqkb1r/ppp2pp1/3p1n1p/4p3/4P3/1BN2N2/PPPP1PPP/R1BQK2R b KQkq - 3 5,Qe7,11,94,83,1
rnb1kb1r/ppp1qpp1/3p1n1p/4p3/4P3/1BN2N2/PPPP1PPP/R1BQK2R w KQkq - 4 6,O-O,96,68,-28,1
rnb1kb1r/ppp1qpp1/3p1n1p/4p3/4P3/1BN2N2/PPPP1PPP/R1BQ1RK1 b kq - 5 6,c6,65,81,16,1
rnb1kb1r/pp2qpp1/2pp1n1p/4p3/4P3/1BN2N2/PPPP1PPP/R1BQ1RK1 w kq - 0 7,h3,84,29,-55,1
rnb1kb1r/pp2qpp1/2pp1n1p/4p3/4P3/1BN2N1P/PPPP1PP1/R1BQ1RK1 b kq - 0 7,Be6,30,117,87,1
rn2kb1r/pp2qpp1/2ppbn1p/4p3/4P3/1BN2N1P/PPPP1PP1/R1BQ1RK1 w kq - 1 8,a3,107,34,-73,1
rn2kb1r/pp2qpp1/2ppbn1p/4p3/4P3/PBN2N1P/1PPP1PP1/R1BQ1RK1 b kq - 0 8,Bxb3,47,49,2,1
rn2kb1r/pp2qpp1/2pp1n1p/4p3/4P3/PbN2N1P/1PPP1PP1/R1BQ1RK1 w kq - 0 9,cxb3,43,44,1,1
rn2kb1r/pp2qpp1/2pp1n1p/4p3/4P3/PPN2N1P/1P1P1PP1/R1BQ1RK1 b kq - 0 9,d5,34,233,199,1
rn2kb1r/pp2qpp1/2p2n1p/3pp3/4P3/PPN2N1P/1P1P1PP1/R1BQ1RK1 w kq - 0 10,exd5,228,248,20,1
rn2kb1r/pp2qpp1/2p2n1p/3Pp3/8/PPN2N1P/1P1P1PP1/R1BQ1RK1 b kq - 0 10,cxd5,253,231,-22,1
rn2kb1r/pp2qpp1/5n1p/3pp3/8/PPN2N1P/1P1P1PP1/R1BQ1RK1 w kq - 0 11,Re1,233,205,-28,1
rn2kb1r/pp2qpp1/5n1p/3pp3/8/PPN2N1P/1P1P1PP1/R1BQR1K1 b kq - 1 11,Nbd7,223,358,135,1
r3kb1r/pp1nqpp1/5n1p/3pp3/8/PPN2N1P/1P1P1PP1/R1BQR1K1 w kq - 2 12,Nd4,358,98,-260,0
r3kb1r/pp1nqpp1/5n1p/3pp3/3N4/PPN4P/1P1P1PP1/R1BQR1K1 b kq - 3 12,Qc5,106,173,67,1
r3kb1r/pp1n1pp1/5n1p/2qpp3/3N4/PPN4P/1P1P1PP1/R1BQR1K1 w kq - 4 13,Nf3,184,161,-23,1
r3kb1r/pp1n1pp1/5n1p/2qpp3/8/PPN2N1P/1P1P1PP1/R1BQR1K1 b kq - 5 13,Bd6,190,555,365,1
r3k2r/pp1n1pp1/3b1n1p/2qpp3/8/PPN2N1P/1P1P1PP1/R1BQR1K1 w kq - 6 14,b4,532,162,-370,0
r3k2r/pp1n1pp1/3b1n1p/2qpp3/1P6/P1N2N1P/1P1P1PP1/R1BQR1K1 b kq - 0 14,Qc6,152,194,42,1
r3k2r/pp1n1pp1/2qb1n1p/3pp3/1P6/P1N2N1P/1P1P1PP1/R1BQR1K1 w kq - 1 15,Qe2,208,-113,-321,0
r3k2r/pp1n1pp1/2qb1n1p/3pp3/1P6/P1N2N1P/1P1PQPP1/R1B1R1K1 b kq - 2 15,O-O,-107,-113,-6,1
r4rk1/pp1n1pp1/2qb1n1p/3pp3/1P6/P1N2N1P/1P1PQPP1/R1B1R1K1 w - - 3 16,Qb5,-91,-132,-41,1
r4rk1/pp1n1pp1/2qb1n1p/1Q1pp3/1P6/P1N2N1P/1P1P1PP1/R1B1R1K1 b - - 4 16,Qc7,-149,-65,84,1
r4rk1/ppqn1pp1/3b1n1p/1Q1pp3/1P6/P1N2N1P/1P1P1PP1/R1B1R1K1 w - - 5 17,Nxd5,-65,-94,-29,1
r4rk1/ppqn1pp1/3b1n1p/1Q1Np3/1P6/P4N1P/1P1P1PP1/R1B1R1K1 b - - 0 17,Nxd5,-93,-84,9,1
r4rk1/ppqn1pp1/3b3p/1Q1np3/1P6/P4N1P/1P1P1PP1/R1B1R1K1 w - - 0 18,Qxd5,-103,-100,3,1
r4rk1/ppqn1pp1/3b3p/3Qp3/1P6/P4N1P/1P1P1PP1/R1B1R1K1 b - - 0 18,Nf6,-103,-97,6,1
r4rk1/ppq2pp1/3b1n1p/3Qp3/1P6/P4N1P/1P1P1PP1/R1B1R1K1 w - - 1 19,Qd3,-107,-259,-152,0
r4rk1/ppq2pp1/3b1n1p/4p3/1P6/P2Q1N1P/1P1P1PP1/R1B1R1K1 b - - 2 19,e4,-262,-254,8,1
r4rk1/ppq2pp1/3b1n1p/8/1P2p3/P2Q1N1P/1P1P1PP1/R1B1R1K1 w - - 0 20,Rxe4,-255,-242,13,1
r4rk1/ppq2pp1/3b1n1p/8/1P2R3/P2Q1N1P/1P1P1PP1/R1B3K1 b - - 0 20,Nxe4,-237,-245,-8,1
r4rk1/ppq2pp1/3b3p/8/1P2n3/P2Q1N1P/1P1P1PP1/R1B3K1 w - - 0 21,Qxe4,-264,-268,-4,1
